ID,Group,Feature_1,Feature_2,Feature_3
ID763,C,2679.006346761388,392.93429980799704,299.07754140897623
ID204,C,2792.2516720807653,374.74260678400213,77.06634784952757
ID734,C,2293.296534312186,408.551715994382,603.8734793837893
ID422,B,3114.897454050099,416.6677176178494,8227.411320270985
ID559,C,2593.5537849636316,409.9908120587184,294.32277097695305
ID432,A,2251.5498320495053,412.2305103133671,6921.227425823096
ID337,B,2486.872047028534,399.90166921706754,7339.67500889067
ID347,C,2206.975503273546,394.25921858492035,520.3221651227805
ID774,C,2684.146651999782,415.45773873046596,-75.02425181178614
ID142,B,2676.9354256320007,398.34572391348973,8182.476736274
ID892,B,2521.4750772304787,384.4271753249463,7901.533903291844
ID898,B,3168.1111067691854,392.2236441237765,8670.464485406992
ID345,B,2076.479608539211,420.2176976528174,6424.174951491712
ID290,A,2584.3646043908507,408.70423384173705,8605.739107291107
ID853,B,2468.3374231199955,407.81469652946424,7533.466485771101
ID581,C,2238.0909551406476,409.21429924334564,586.6024186791979
ID602,A,2810.9900836083298,425.17827395410467,8535.742348770304
ID179,A,2198.1145089227707,387.60879482630037,6873.588817691856
ID584,A,1896.8437208697237,413.81634750760725,6177.133322331951
ID707,A,2643.11904663183,404.19094796315517,8176.726921516313
ID154,A,2346.55937618204,376.34301797347547,7613.020764308902
ID442,A,2182.4537924415713,404.5120919243644,6700.3844608123145
ID849,C,2483.072834042984,389.5512604142043,-108.29444657771205
ID119,A,3349.8219603421358,410.54913503193217,11101.978721319223
ID790,A,2256.1145612521786,410.3969813947137,7434.3296652184135
ID619,C,2747.843179282755,405.9096156176429,101.37549215325134
ID488,C,2565.3730830637396,388.583900864245,190.68403036411746
ID554,A,2844.1858499698506,389.59401013081134,9464.534292409182
ID259,A,2967.930418217977,411.4975601223795,9842.671542020977
ID873,B,3009.0976977458295,378.8283104538351,8525.679331318926
ID697,B,3030.465264279459,403.4655366960098,8593.504309897327
ID701,C,2837.7669557583567,420.331786172396,319.6920891976888
ID416,C,2630.1838170381275,399.0564637768003,559.0310907762969
ID338,B,2156.8522919078873,390.99960449989015,6478.1313496800085
ID224,B,2819.1161105379347,385.7079055098594,8068.926498764235
ID227,C,2503.195343185447,395.3490865558907,409.9213315967868
ID107,B,2289.9752592064433,398.65912220424167,6989.445913826153
ID127,A,2942.924302472936,401.3306327295323,9351.041245832937
ID309,B,2503.3063532296,407.65194045999664,7168.012356531524
ID477,C,2270.333914632799,407.90435870187684,680.7530134404501
ID655,B,2916.860858921204,392.9264525227971,8630.973415611392
ID257,A,2107.239950796333,397.05301277338447,7148.206105582449
ID261,C,1918.538179605653,427.782261558064,749.2331873479461
ID181,B,2867.5965737206257,384.303789769913,8628.79010481952
ID313,B,2043.7828822071929,392.6117012892189,6355.0448084838645
ID141,C,2868.3702723297747,402.57369023031487,-330.74940328672346
ID434,B,2572.938982962369,403.794101335782,7956.926778515568
ID757,C,2698.3601450244787,418.81837210215076,578.2575810451399
ID156,A,1995.5001879185697,374.2005875878005,7239.875494944677
ID893,B,2204.4080144417467,378.5374602463724,7098.082201856543
ID310,A,2159.942128808217,402.91003571091903,7379.28463211479
ID272,B,1918.7893432211272,382.8958676019098,6365.121070885734
ID117,B,2667.8020364304243,408.74753957401754,7876.12765907412
ID794,B,2335.467128284097,435.4556053283438,7044.337117543109
ID459,C,2641.3849130477943,410.1682708266839,444.36455760510944
ID408,A,2104.4822047291022,413.37663477908376,7028.40507400613
ID489,A,2165.3457936863792,388.1868360982907,6934.832553112679
ID125,B,2298.4860009835757,427.10764932012626,7227.503268188713
ID476,C,2713.681571604249,425.04503492584627,596.85762452266
